video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),10,5,5,-59.09,-32.79,40.32,1
VID_ (1),10,5,6,82.9,-27.62,-23.38,1
VID_ (1),10,5,7,-54.44,-21.11,28.43,1
VID_ (1),10,6,0,-60.13,-36.7,44.09,1
VID_ (1),10,6,1,-59.09,-32.79,40.32,1
VID_ (1),10,6,2,82.9,-27.62,-23.38,1
VID_ (1),10,6,3,-54.44,-21.11,28.43,1
VID_ (1),10,6,4,-62.32,-39.63,43.74,1
VID_ (1),10,6,5,-64.65,-42.51,46.12,1
VID_ (1),10,6,6,-43.21,-10.7,15.48,1
VID_ (1),10,6,7,79.77,-14.64,-15.4,1
VID_ (1),10,7,0,-62.32,-39.63,43.74,1
VID_ (1),10,7,1,-64.65,-42.51,46.12,1
VID_ (1),10,7,2,-43.21,-10.7,15.48,1
VID_ (1),10,7,3,79.77,-14.64,-15.4,1
VID_ (1),10,7,4,70.69,-17.97,-22.94,1
VID_ (1),10,7,5,66.06,-4.68,-15.93,1
VID_ (1),10,7,6,70.71,-12.96,-15.66,1
VID_ (1),10,7,7,69.53,-12.68,-13.73,1
VID_ (1),10,8,0,70.69,-17.97,-22.94,1
VID_ (1),10,8,1,66.06,-4.68,-15.93,1
VID_ (1),10,8,2,70.71,-12.96,-15.66,1
VID_ (1),10,8,3,69.53,-12.68,-13.73,1
VID_ (1),10,8,4,74.48,-16.65,-16.78,1
VID_ (1),10,8,5,75.25,-13.67,-9.5,1
VID_ (1),10,8,6,69.13,-8.12,-9.71,1
VID_ (1),10,8,7,73.48,-13.88,-12.86,1
VID_ (1),10,9,0,74.48,-16.65,-16.78,1
VID_ (1),10,9,1,75.25,-13.67,-9.5,1
VID_ (1),10,9,2,69.13,-8.12,-9.71,1
VID_ (1),10,9,3,73.48,-13.88,-12.86,1
VID_ (1),10,9,4,75.49,-13.07,-11.03,1
VID_ (1),10,9,5,69.95,-6.02,-7.81,1
VID_ (1),10,9,6,74.47,-4.05,-3.31,1
VID_ (1),10,9,7,75.9,-0.2,2.13,1
VID_ (1),10,10,0,75.49,-13.07,-11.03,1
VID_ (1),10,10,1,69.95,-6.02,-7.81,1
VID_ (1),10,10,2,74.47,-4.05,-3.31,1
VID_ (1),10,10,3,75.9,-0.2,2.13,1
VID_ (1),10,10,4,77.0,-8.14,-4.38,1
VID_ (1),10,10,5,-68.84,-39.54,41.82,1
VID_ (1),10,10,6,-66.85,-31.73,32.6,1
VID_ (1),10,10,7,-67.19,-32.55,33.27,1
VID_ (1),10,11,0,77.0,-8.14,-4.38,1
VID_ (1),10,11,1,-68.84,-39.54,41.82,1
VID_ (1),10,11,2,-66.85,-31.73,32.6,1
VID_ (1),10,11,3,-67.19,-32.55,33.27,1
VID_ (1),10,11,4,-61.6,-24.36,27.31,1
VID_ (1),10,11,5,-69.85,-35.88,35.37,1
VID_ (1),10,11,6,-71.98,-39.93,38.33,1
VID_ (1),10,11,7,-74.38,-49.33,46.56,1
VID_ (1),10,12,0,-61.6,-24.36,27.31,1
VID_ (1),10,12,1,-69.85,-35.88,35.37,1
VID_ (1),10,12,2,-71.98,-39.93,38.33,1
VID_ (1),10,12,3,-74.38,-49.33,46.56,1
VID_ (1),10,12,4,-75.35,-47.25,39.58,1
VID_ (1),10,12,5,-69.13,-27.7,29.06,1
VID_ (1),10,12,6,-70.54,-34.27,39.74,1
VID_ (1),10,12,7,-65.34,-29.12,33.01,1
VID_ (1),10,13,0,-75.35,-47.25,39.58,1
VID_ (1),10,13,1,-69.13,-27.7,29.06,1
VID_ (1),10,13,2,-70.54,-34.27,39.74,1
VID_ (1),10,13,3,-65.34,-29.12,33.01,1
VID_ (1),10,13,4,-66.86,-39.89,34.67,1
VID_ (1),10,13,5,-48.04,-23.33,22.25,1
VID_ (1),10,13,6,-54.9,-29.64,27.31,1
VID_ (1),10,13,7,-51.07,-28.19,21.96,1
VID_ (1),11,0,0,,,,0
VID_ (1),11,0,1,,,,0
VID_ (1),11,0,2,,,,0
VID_ (1),11,0,3,,,,0
VID_ (1),11,0,4,,,,0
